benchmark,time,charge,mAh_total,mAh_cpu,mAh_wifi,energy_total,energy_cpu,energy_wifi
localLoginSharedPref-1000,225.0,1.743,0.342,0.341,0.00111,2.1459816000000003,2.1397068000000004,0.006965028000000002
localLoginSharedPref-1000,255.0,1.743,0.353,0.352,0.00111,2.2150044,2.2087296,0.006965028000000002
localLoginSharedPref-1000,258.0,1.743,0.356,0.355,0.00111,2.2338288000000004,2.227554,0.006965028000000002
localLoginSharedPref-1000,237.0,1.743,0.321,0.32,0.00111,2.0142108,2.0079360000000004,0.006965028000000002
localLoginSharedPref-1000,250.0,1.743,0.331,0.33,0.00111,2.0769588000000003,2.0706840000000004,0.006965028000000002
localLoginSharedPref-1000,233.0,1.743,0.32,0.319,0.00111,2.0079360000000004,2.0016612000000005,0.006965028000000002
localLoginSharedPref-1000,247.0,1.743,0.35,0.349,0.00111,2.19618,2.1899052,0.006965028000000002
localLoginSharedPref-1000,316.0,1.743,0.341,0.34,0.00111,2.1397068000000004,2.1334320000000004,0.006965028000000002
localLoginSharedPref-1000,231.0,1.743,0.346,0.345,0.00111,2.1710808000000004,2.164806,0.006965028000000002
localLoginSharedPref-1000,229.0,1.743,0.345,0.344,0.00111,2.164806,2.1585312,0.006965028000000002
localLoginSharedPref-1000,219.0,1.743,0.355,0.354,0.00111,2.227554,2.2212792,0.006965028000000002
localLoginSharedPref-1000,250.0,1.743,0.311,0.31,0.00111,1.9514628,1.9451880000000004,0.006965028000000002
localLoginSharedPref-1000,294.0,1.743,0.332,0.331,0.00111,2.0832336000000002,2.0769588000000003,0.006965028000000002
localLoginSharedPref-1000,227.0,1.743,0.345,0.344,0.00111,2.164806,2.1585312,0.006965028000000002
localLoginSharedPref-1000,235.0,1.743,0.31,0.309,0.00111,1.9451880000000004,1.9389132000000002,0.006965028000000002
localLoginSharedPref-1000,216.0,1.743,0.29,0.289,0.00111,1.819692,1.8134172000000002,0.006965028000000002
localLoginSharedPref-1000,212.0,1.743,0.301,0.3,0.00111,1.8887148,1.8824400000000003,0.006965028000000002
localLoginSharedPref-1000,378.0,1.743,0.319,0.318,0.00111,2.0016612000000005,1.9953864000000001,0.006965028000000002
localLoginSharedPref-1000,281.0,1.743,0.335,0.334,0.00111,2.1020580000000004,2.0957832000000005,0.006965028000000002
localLoginSharedPref-1000,452.0,1.743,0.336,0.335,0.00111,2.1083328000000003,2.1020580000000004,0.006965028000000002
localLoginSharedPref-1000,266.0,1.743,0.333,0.332,0.00111,2.0895084,2.0832336000000002,0.006965028000000002
localLoginSharedPref-1000,217.0,1.743,0.317,0.316,0.00111,1.9891116000000002,1.9828368,0.006965028000000002
localLoginSharedPref-1000,264.0,1.743,0.367,0.366,0.00111,2.3028516,2.2965768000000004,0.006965028000000002
localLoginSharedPref-1000,271.0,1.743,0.367,0.365,0.00111,2.3028516,2.290302,0.006965028000000002
localLoginSharedPref-1000,218.0,1.743,0.34,0.339,0.00111,2.1334320000000004,2.1271572000000005,0.006965028000000002
localLoginSharedPref-1000,331.0,1.743,0.345,0.344,0.00111,2.164806,2.1585312,0.006965028000000002
localLoginSharedPref-1000,253.0,1.743,0.346,0.345,0.00111,2.1710808000000004,2.164806,0.006965028000000002
localLoginSharedPref-1000,244.0,1.743,0.299,0.298,0.00111,1.8761652000000002,1.8698904,0.006965028000000002
localLoginEncSharedPref-10000,2123.0,1.966,1.32,1.31,0.00111,9.342432,9.271656,0.007856136000000001
localLoginEncSharedPref-10000,1883.0,1.966,1.27,1.27,0.00111,8.988552,8.988552,0.007856136000000001
localLoginEncSharedPref-10000,1982.0,1.966,1.31,1.31,0.00111,9.271656,9.271656,0.007856136000000001
localLoginEncSharedPref-10000,2033.0,1.966,1.31,1.31,0.00111,9.271656,9.271656,0.007856136000000001
localLoginEncSharedPref-10000,2096.0,1.966,1.3,1.3,0.00111,9.200880000000002,9.200880000000002,0.007856136000000001
